------------------------------------------------------------------------
IN AND OUT LINK RESULT
-------------------------------------------------------------------------
WT21-B37-76:	 In-Links: 2568	 Out-Links: 5
WT21-B37-75:	 In-Links: 1704	 Out-Links: 1
WT25-B39-116:	 In-Links: 169	 Out-Links: 1
WT23-B21-53:	 In-Links: 198	 Out-Links: 1
WT24-B26-10:	 In-Links: 291	 Out-Links: 1
WT24-B40-171:	 In-Links: 270	 Out-Links: 209
WT23-B39-340:	 In-Links: 274	 Out-Links: 395
WT23-B37-134:	 In-Links: 207	 Out-Links: 2
WT08-B18-400:	 In-Links: 990	 Out-Links: 0
WT13-B06-284:	 In-Links: 454	 Out-Links: 2
WT13-B06-273:	 In-Links: 452	 Out-Links: 11
WT01-B18-225:	 In-Links: 1137	 Out-Links: 0
WT04-B27-720:	 In-Links: 291	 Out-Links: 27
WT24-B26-46:	 In-Links: 179	 Out-Links: 3
WT23-B19-156:	 In-Links: 364	 Out-Links: 12
WT04-B30-12:	 In-Links: 241	 Out-Links: 8
WT25-B15-307:	 In-Links: 605	 Out-Links: 8
WT07-B18-256:	 In-Links: 169	 Out-Links: 169
WT24-B40-167:	 In-Links: 153	 Out-Links: 152
WT14-B03-220:	 In-Links: 163	 Out-Links: 162
WT18-B31-240:	 In-Links: 259	 Out-Links: 31
WT14-B03-227:	 In-Links: 148	 Out-Links: 147
WT04-B40-202:	 In-Links: 322	 Out-Links: 36
WT08-B19-222:	 In-Links: 1041	 Out-Links: 1
WT23-B20-363:	 In-Links: 181	 Out-Links: 193
WT27-B28-203:	 In-Links: 589	 Out-Links: 2
WT13-B39-295:	 In-Links: 443	 Out-Links: 19
WT13-B15-160:	 In-Links: 484	 Out-Links: 0
WT12-B30-56:	 In-Links: 174	 Out-Links: 7
WT10-B02-288:	 In-Links: 193	 Out-Links: 18
WT14-B36-337:	 In-Links: 417	 Out-Links: 5
WT21-B40-37:	 In-Links: 201	 Out-Links: 0
WT21-B35-155:	 In-Links: 174	 Out-Links: 7
WT23-B01-40:	 In-Links: 147	 Out-Links: 39
WT08-B08-60:	 In-Links: 175	 Out-Links: 39
WT22-B38-403:	 In-Links: 273	 Out-Links: 27
WT13-B39-321:	 In-Links: 52	 Out-Links: 19
WT04-B22-268:	 In-Links: 113	 Out-Links: 109
WT14-B02-400:	 In-Links: 115	 Out-Links: 114
WT18-B14-66:	 In-Links: 150	 Out-Links: 135
WT06-B14-69:	 In-Links: 57	 Out-Links: 1
WT23-B38-120:	 In-Links: 116	 Out-Links: 395
WT06-B35-151:	 In-Links: 255	 Out-Links: 11
WT10-B33-300:	 In-Links: 406	 Out-Links: 0
WT14-B36-323:	 In-Links: 368	 Out-Links: 13
WT14-B36-335:	 In-Links: 368	 Out-Links: 6
WT14-B36-336:	 In-Links: 368	 Out-Links: 5
WT14-B36-334:	 In-Links: 368	 Out-Links: 6
WT06-B35-161:	 In-Links: 253	 Out-Links: 11
WT27-B20-494:	 In-Links: 121	 Out-Links: 15
